date,O,H,L,C,IBH,IBL,vol,u_var,d_var,first,last,PnL
2022-10-14,11101.5,11253.5,10783.25,10850.5,11102.25,11026.75,0.019650195503001663,7555.987499999968,12584.168749999993,1785044,1785359,233.34992086184502
2022-10-17,10894.0,11138.0,10875.5,11128.0,10912.5,10875.5,0.020553922050759267,8981.843749999973,22853.668749999975,1786424,1786739,-48.6954233106826
2022-10-21,11017.5,11292.0,10935.5,11291.5,11028.0,10938.5,0.018671470723393566,4538.737499999977,6388.987499999928,1791944,1792259,29.502056827962406
2022-11-01,11604.0,11619.0,11315.75,11369.5,11614.5,11583.0,0.017952478697301925,27494.918749999975,6619.893749999951,1801664,1801979,-93.48139807950247
2022-11-18,11834.25,11843.0,11607.0,11667.5,11843.0,11811.75,0.021224952422541042,7039.106249999952,4229.424999999953,1819604,1819919,-7.798160268694119
2022-12-05,11964.25,11972.25,11745.5,11768.5,11969.25,11918.75,0.01969353875226753,22509.96874999995,6603.456249999963,1834315,1834630,-49.95094573969436
2022-12-06,11824.25,11833.0,11502.0,11533.75,11833.0,11796.5,0.02038630279346994,22448.731249999946,10685.731249999972,1835695,1836010,-43.62291304648352
2022-12-08,11564.25,11685.75,11477.25,11626.25,11598.0,11554.0,0.014813155916222209,4031.9562499999374,16062.206249999965,1838455,1838770,28.818408767263463
2022-12-16,11401.25,11491.5,11275.5,11330.0,11431.25,11363.5,0.015948125562522373,6704.39374999995,8222.862499999963,1846733,1847048,121.09924849045728
2022-12-19,11367.75,11373.5,11151.0,11163.0,11373.5,11347.0,0.016190298702832777,8424.593749999949,3636.7687499999734,1848113,1848428,-30.708197490443126
2022-12-20,11131.25,11247.0,11066.75,11176.75,11160.75,11117.25,0.01598932090355771,3013.812499999944,7380.09374999996,1849493,1849808,26.457731463739037
2022-12-21,11235.0,11389.75,11181.0,11340.25,11248.0,11213.75,0.016012973190369997,3739.174999999945,9981.91874999995,1850873,1851188,-73.17948459457511
2022-12-29,10843.75,11071.5,10843.0,11030.0,10904.25,10843.0,0.01617125768839905,8883.831249999945,22679.343749999964,1857771,1858086,-81.90396583283837
2023-01-13,11408.75,11578.75,11389.0,11566.0,11427.5,11389.0,0.015466262573593278,759.6874999999673,1987.6874999999136,1871567,1871882,29.16030307429446
2023-01-20,11431.5,11631.75,11383.5,11626.25,11443.25,11407.0,0.01355526662668976,3837.2937499999525,4776.893749999925,1878226,1878541,-52.69663094351563
2023-01-25,11751.25,11875.0,11604.5,11859.25,11752.0,11701.0,0.011420377650222578,7847.0749999999625,2005.6437499999258,1882365,1882680,126.64488539484955
2023-01-30,12095.0,12143.25,11982.5,12000.25,12095.0,12064.5,0.012085442747851439,4368.668749999955,2008.3937499999306,1886505,1886820,17.48399127471839
2023-02-01,12139.25,12386.25,12055.25,12339.5,12152.0,12129.75,0.012491528519280865,6990.668749999964,1847.0749999999227,1889265,1889580,17.94028919096945
2023-02-07,12532.25,12778.5,12459.25,12697.5,12535.75,12499.0,0.013326078471953324,9015.356249999972,4728.293749999932,1894784,1895099,13.454251711114921
2023-02-08,12726.5,12752.0,12517.25,12566.75,12736.5,12699.5,0.013625678503457772,14143.081249999967,7759.34374999994,1896164,1896479,14.262347394991593
2023-02-09,12679.5,12728.5,12453.25,12467.75,12726.25,12679.0,0.013850681195862398,7628.28124999996,5944.343749999955,1897544,1897859,16.689021981243968
2023-03-15,12166.75,12389.5,12105.5,12376.5,12224.75,12105.5,0.013282246388172986,3041.3874999999666,4712.687499999949,1930420,1930735,-29.28477667495281
2023-03-27,12952.75,12965.25,12765.5,12806.5,12956.25,12928.25,0.012497550161173319,9421.168749999959,4682.512499999926,1941400,1941715,-59.76268951941529
2023-03-28,12783.25,12796.5,12634.25,12639.75,12796.5,12780.75,0.012998801539903763,11894.018749999957,5431.424999999932,1942780,1943095,-36.029816964799465
2023-04-14,13148.75,13255.0,13058.0,13107.75,13167.0,13134.5,0.009350013974879301,6737.012499999959,1501.299999999929,1960251,1960566,7.43408014578381
2023-04-17,13178.75,13206.0,13076.75,13096.5,13194.0,13167.5,0.009363488155576962,6936.887499999959,819.799999999927,1961631,1961946,22.296106663905448
2023-04-18,13270.75,13298.75,13151.5,13175.5,13293.75,13270.75,0.0089758882549756,6926.718749999958,1155.574999999929,1963010,1963325,-39.71458557291953
2023-05-12,13467.75,13487.25,13315.75,13320.25,13474.5,13455.0,0.008635825901273124,4147.043749999954,3050.7062499999215,1987846,1988161,-33.08311880241854
2023-05-23,13892.0,13892.0,13765.5,13774.25,13892.0,13849.0,0.008300664865874021,6417.168749999959,2359.17499999992,1997506,1997821,12.428299111839806
2023-05-24,13672.25,13683.0,13566.5,13635.0,13683.0,13662.0,0.008829481486411744,5996.668749999955,2505.374999999925,1998886,1999201,13.220077992394181
2023-05-30,14496.0,14570.0,14344.25,14351.5,14570.0,14495.5,0.009959675377650882,14088.293749999959,2657.0749999999266,2004166,2004481,13.291743231105102
2023-06-08,14330.0,14523.5,14288.0,14447.0,14335.5,14288.0,0.010053749816547563,3736.387499999961,8322.15624999993,2013824,2014139,14.00457733003168
2023-06-16,15414.75,15475.5,15324.25,15374.25,15435.25,15400.0,0.010998456649343062,6625.487499999963,636.4187499999227,2022098,2022413,37.850282334849
2023-06-20,15216.5,15310.75,15126.5,15236.75,15250.25,15208.0,0.011028722124772607,9293.012499999959,1044.1437499999229,2024617,2024932,80.18079764235699
2023-06-21,15232.5,15236.75,15002.25,15092.25,15236.75,15194.0,0.010983673477631148,11336.312499999958,6868.268749999934,2025996,2026311,-95.32724372201119
2023-06-29,15192.25,15202.75,15028.5,15062.0,15196.0,15170.75,0.009849771369117058,6770.262499999959,4166.88749999994,2034276,2034591,19.695062275300188
2023-07-06,15303.0,15305.0,15111.5,15238.0,15305.0,15244.0,0.010170258915946919,8275.374999999956,6150.17499999992,2040706,2041021,50.28946184553388
2023-08-04,15458.5,15610.25,15392.75,15525.0,15473.0,15432.0,0.009804933743046416,3476.9687499999554,10491.418749999943,2069683,2069998,50.19672338986584
2023-08-10,15267.25,15442.25,15136.0,15144.25,15308.0,15255.75,0.008464509145188863,4617.606249999957,3732.981249999955,2075203,2075518,6.945111853903654
2023-08-11,15187.0,15193.0,15037.25,15084.75,15193.0,15165.75,0.008325402485360922,4398.981249999953,2468.7812499999623,2076583,2076898,11.42843760937103
2023-08-16,15098.5,15144.0,14987.25,15048.75,15118.75,15082.25,0.008260589892050809,4141.562499999956,569.574999999949,2080723,2081038,42.364161452261214
2023-08-17,14970.5,15018.25,14856.75,14878.25,14994.5,14966.25,0.007903302254549171,1287.9812499999534,510.0749999999474,2082103,2082418,11.756721276732605
2023-08-25,14866.75,15048.75,14751.75,14881.0,14904.0,14856.5,0.009785232554120107,11920.89374999996,28084.674999999963,2090383,2090698,116.29102973519457
